assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
22052250,14134,Myotis mystacinus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22052250,14134,Myotis mystacinus,1.1,Forest - Boreal,,,Suitable
22052250,14134,Myotis mystacinus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
22052250,14134,Myotis mystacinus,8.2,Desert - Temperate,,,Suitable
22052250,14134,Myotis mystacinus,8.3,Desert - Cold,,,Suitable
22052250,14134,Myotis mystacinus,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22052250,14134,Myotis mystacinus,1.4,Forest - Temperate,,,Suitable
22052250,14134,Myotis mystacinus,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22052250,14134,Myotis mystacinus,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
22052250,14134,Myotis mystacinus,4.5,Grassland - Subtropical/Tropical Dry,,,Suitable
22053297,14124,Myotis blythii,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22053297,14124,Myotis blythii,3.4,Shrubland - Temperate,,,Suitable
22053297,14124,Myotis blythii,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
22053297,14124,Myotis blythii,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22053297,14124,Myotis blythii,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22053297,14124,Myotis blythii,14.3,Artificial/Terrestrial - Plantations,,,Suitable
22053297,14124,Myotis blythii,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
22053297,14124,Myotis blythii,4.4,Grassland - Temperate,,,Suitable
22053297,14124,Myotis blythii,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22053297,14124,Myotis blythii,4.5,Grassland - Subtropical/Tropical Dry,,,Suitable
22053297,14124,Myotis blythii,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
22053752,14123,Myotis bechsteinii,14.4,Artificial/Terrestrial - Rural Gardens,,,Marginal
22053752,14123,Myotis bechsteinii,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22053752,14123,Myotis bechsteinii,14.3,Artificial/Terrestrial - Plantations,,,Marginal
22053752,14123,Myotis bechsteinii,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22053752,14123,Myotis bechsteinii,14.2,Artificial/Terrestrial - Pastureland,,,Marginal
22053752,14123,Myotis bechsteinii,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22053752,14123,Myotis bechsteinii,1.4,Forest - Temperate,,,Suitable
22054131,14126,Myotis capaccinii,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),,,Suitable
22054131,14126,Myotis capaccinii,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22054131,14126,Myotis capaccinii,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
22054131,14126,Myotis capaccinii,5.13,Wetlands (inland) - Permanent Inland Deltas,,,Suitable
22054131,14126,Myotis capaccinii,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),,,Suitable
22054131,14126,Myotis capaccinii,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),,,Suitable
22054131,14126,Myotis capaccinii,5.3,Wetlands (inland) - Shrub Dominated Wetlands,,,Suitable
22054131,14126,Myotis capaccinii,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,,,Suitable
22054131,14126,Myotis capaccinii,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,,Suitable
22054131,14126,Myotis capaccinii,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),,,Suitable
22054131,14126,Myotis capaccinii,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",,,Suitable
22054131,14126,Myotis capaccinii,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22055164,14127,Myotis dasycneme,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,,,Suitable
22055164,14127,Myotis dasycneme,1.1,Forest - Boreal,,,Suitable
22055164,14127,Myotis dasycneme,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
22055164,14127,Myotis dasycneme,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",,,Suitable
22055164,14127,Myotis dasycneme,5.13,Wetlands (inland) - Permanent Inland Deltas,,,Suitable
22055164,14127,Myotis dasycneme,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,,,Suitable
22055164,14127,Myotis dasycneme,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),,,Suitable
22055164,14127,Myotis dasycneme,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
22055164,14127,Myotis dasycneme,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),,,Suitable
22055164,14127,Myotis dasycneme,15.3,Artificial/Aquatic - Aquaculture Ponds,,,Suitable
